context/aspect	opinion/argument	reason/factoid	preference	direct	method	super	question
0	1	1	0	1	0	0	чем отличаеться смартфон от обычного телефона
1	0	1	1	0	0	1	какая самая многочисленная группа животных освоившая  все среды обитания
0	1	0	1	1	0	0	что выбрать мазда 3 или мазда 6
0	0	1	0	1	0	0	чем отличается инвенторный кондиционер от обычного
0	1	0	1	1	0	0	что лучше sony ericsson xperia neo v или sony ericsson xperia ray
0	1	0	1	1	0	0	что выбрать iphone 4s или htc one s
0	1	1	0	1	0	0	чем отличается ios от android
0	1	0	1	1	0	0	что лучше nokia 700 или nokia 701
0	1	0	1	0	0	0	какое масло лить в toyota avensis 1998
0	0	1	0	1	0	0	чем отличается камин от печи
0	1	0	1	1	0	0	какой модем лучше мтс билайн или мегафон
0	0	1	1	1	1	0	как отличить настоящих бакуганов от подделки
0	1	0	1	1	0	0	какой телевизор лучше купить led или жк
0	0	1	0	1	0	0	чем отличаются язычники от христиан
0	0	1	0	1	0	0	в чем главное различие понятий оптовые и розничные цены
1	0	1	1	1	0	0	что дороже свинина или говядина
0	1	0	1	0	0	1	какой самый лучший браузер
0	1	0	1	0	0	0	какой сайлентблок лучше
1	0	1	1	1	0	0	какую пружину с большей или меньшей жесткостью лучше использовать в работе для более точного выполнения закона сохранения механической энергии почему
0	1	0	1	0	0	0	какой полиролью лучше полировать
0	1	0	0	1	0	0	чем отличается овен от тельца
0	0	1	0	1	1	0	как отличить папу от мамы
0	1	0	1	1	0	0	что лучше новинет или мерсилон
0	1	1	0	1	0	0	чем отличается фрисолак от фрисолак голд
0	1	0	1	1	0	0	что лучше бмв х5 или инфинити фх35
0	0	1	0	1	0	0	чем экстази отличается от lsd
1	0	1	1	1	0	0	как пишется чтобы слитно или раздельно
0	1	0	1	0	0	0	какой поисковик лучше и почему
0	1	0	1	1	0	0	какой фотик лучше никон или кэнон
0	1	0	1	0	0	0	в каком салоне связи лучше купить телефон
1	0	1	1	1	0	0	в каком из чайников 1 или 2 кипяток остынет быстрее почему
0	1	0	1	0	0	0	где лучше работать в россии
0	1	0	1	1	0	0	какие батареи лучше чугунные или биметаллические
1	0	1	1	1	0	0	что больше россия или америка
0	1	0	1	0	0	0	какой утюг купить отзывы
1	1	1	0	1	0	0	какие особенности эритроцитов отличают млекопитающих от остальных классов позвоночных животных
0	0	1	0	1	0	0	в чём сходство и различие социальной сферы современного российского общества социальной сферы советской эпохи?
0	0	1	0	1	0	0	чем отличается водоэмульсионная краска от водно-дисперсионной
0	1	0	1	1	0	0	что выбрать плазму или жк
0	1	0	1	0	0	0	какой боевой стиль выбрать
0	1	1	0	1	0	0	как отличить поганки от опят
0	0	0	0	0	0	1	какая ваша самая любимая песня
1	1	1	0	1	0	0	какой признак отличает государство от иных институтов политической системы общества
0	0	1	0	1	0	0	отличаются ли права и обязанности муниципальных служащих от прав и обязанностей государственных служащих
0	1	0	1	0	0	1	в какой букмекерской конторе лучше играть
0	1	1	0	1	0	0	чем блесна отличается от воблера
0	1	0	0	1	0	0	чем женская дружба отличается от мужской
1	0	1	1	1	0	0	где плотнее расположены интерференционные кольца  в центре или на периферии почему
0	1	0	0	1	1	0	как отличить беременность от воспаления придатков
1	1	0	1	0	0	0	в каком магазине выгоднее покупать продукты
1	1	1	2	1	0	0	почему горячая вода замерзает быстрее чем холодная
1	1	1	2	1	0	0	в чем преимущества плоских червей по сравнению с кишечнополостными
1	1	0	0	1	0	0	что надежней робот или автомат
0	1	0	2	1	0	0	чем плазма лучше жк
0	1	0	1	1	0	0	какой порошок лучше стирает
0	1	0	1	0	0	0	какой автокомпрессор выбрать
0	1	0	1	1	0	0	что выбрать 017 или 257
0	1	0	1	1	0	0	кто лучше дц или холи прист
1	0	1	1	1	0	0	что длиннее амазонка или нил
0	1	0	2	1	0	0	чем месси лучше роналду
0	1	0	1	0	0	1	какой антивирус самый лучший
0	1	0	1	0	0	0	какую глину лучше пить
1	1	0	1	1	0	0	что дешевле крым или наш юг
1	1	0	1	0	0	1	какой самый выгодный телефон
0	0	1	0	1	0	0	чем общий вагон отличается от плацкарта
0	1	0	1	0	1	0	как правильно выбрать обои
1	1	0	1	1	0	0	кто сильнее тигр или лев
1	0	1	1	0	0	0	какая из колоний великобританий получила независимость последней?
1	1	0	1	0	0	1	какой коктейль самый известный
1	1	0	1	1	0	0	какое понятие шире по содержанию механизм государства или аппарат государства
1	1	0	1	0	0	1	какой спорт самый высокооплачиваемый
0	1	0	1	0	0	0	какой отель туниса выбрать
0	1	0	1	1	0	0	что лучше 95 или 92
0	1	0	0	1	1	0	как отличить настоящие духи от подделки
0	1	0	0	1	1	0	как отличить норковую шубу от подделки
0	0	1	0	1	0	0	чем различаются изобразительное искусство и художественное творчество
1	1	0	1	1	0	0	каким термометром можно точнее измерить температуру комнатным или медицинским
0	1	0	0	1	0	0	чем отличается модерн от джаз модерна
0	1	0	1	1	0	0	что лучше бали или тайланд
1	1	0	1	0	0	0	куда лучше поехать отдыхать летом
0	0	1	0	1	0	0	чем отличается смесь нан от нутрилона
0	1	0	1	0	0	0	какой фирмы сканер лучше
0	1	0	1	0	0	1	какие самые лучшие боевики
1	1	0	1	0	0	1	какие варианты получения инвестиций предполагают наибольшее увеличение инвестиций для среднего ооо?
1	1	1	2	1	0	0	почему на правой руке давление выше чем на левой
0	0	1	0	1	0	0	в чем разница между царем и королем
0	1	0	1	0	0	0	какие трусы лучше
1	1	0	1	0	0	1	где лучше всего заработать деньги
0	1	0	0	1	0	0	чем отличается мясо утки от мяса гуся
0	1	0	1	1	0	0	что выбрать утюг или парогенератор
1	0	1	1	0	0	1	какой самый соленый океан
0	1	0	0	1	0	0	какая разница между 1080i и 1080p
0	0	1	0	1	0	0	чем отличается циклодинон от мастодинона
0	1	0	1	0	0	1	какие духи самые лучшие
0	1	0	1	0	0	0	на какой машине выгодней работать
0	1	0	0	0	0	0	часы какая разница
0	1	0	0	1	0	0	чем отличается кукушка от женщины
1	0	1	0	1	0	0	чем отличается пауэрлифтер от бодибилдера
1	0	1	1	1	0	0	как правильно создал или создал
0	0	1	0	1	0	0	чем отличается бакалавр от магистра
0	1	0	1	0	0	0	какая прививка для собак лучше
1	0	1	1	1	0	0	где дешевле в хорватии или черногории
1	0	1	1	1	0	0	какой из этих глаголов отличается от остальных ударением обусловить празднословить прекословить благословить славословить
1	0	1	1	0	0	0	какая из колоний великобритании получила независимость последне?
1	0	1	2	1	0	0	на сколько лет в британии позже по сравнению с китаем появились бумажные деньги
0	1	0	1	0	0	0	обьектив какой лучше
0	1	0	1	1	0	0	что лучше купить приору или калину
0	0	1	0	1	0	0	в чем сходство и различия клеток одноклеточных и многоклеточных организмов
0	1	0	1	0	0	0	какой роутер лучше форум
1	0	1	1	0	0	1	какой самый популярный сайт в мире
0	1	0	1	0	0	0	какой 3g интернет лучше
0	1	1	0	0	0	0	что называется политическим поведением? как различаются его формы?
0	0	1	0	1	0	0	в чём отличие 3d от imax 3d
0	0	0	0	0	0	1	что считается высшей карой в христианстве
1	1	1	0	1	0	0	как по строению отличаются фенолы от ароматических спиртов
1	0	1	1	0	0	1	сколько длится самый длиный день в году
1	1	0	1	0	0	1	какая тушь для ресниц самая лучшая отзывы
1	1	1	1	0	0	1	какое отхаркивающее лучше для ребенка
0	0	1	0	1	0	0	чем сказка отличается от рассказа
0	1	0	1	1	0	0	что лучше рефрактор или рефлектор
0	1	0	1	1	0	0	что лучше шипованная резина или липучка
0	1	0	1	1	0	0	что лучше гранта или 2114
0	1	0	1	1	0	0	какой телевизор выбрать плазменный или жк
1	1	0	1	0	0	1	какой фонд времени работы оборудования наиболее приближен к реальному
0	1	0	1	1	0	0	что лучше мальдивы или тайланд
1	1	0	0	1	0	0	каковы темпы роста в сфере услуг по сравнению с материальным производством
1	1	0	1	0	0	0	где лучше сдать анализы в уфе
0	1	0	0	1	0	0	кто ты из закрытой школы даша или вика
0	1	0	1	0	0	0	какой танометр лучше?
0	1	0	1	1	0	0	какой сокет лучше fm1 или am3
1	0	1	1	1	0	0	как правильно носок или носков
1	0	1	1	1	0	0	как правильно говорить газовщик или газовик
0	0	1	1	1	0	0	как правильно судей или судей
0	1	0	0	1	1	0	как отличить поддельные духи от настоящих
0	1	0	1	0	0	1	где лучше селиться в праге
1	0	1	1	1	0	0	в каких странах развитых или развивающихся вопросы природопользования стоят более остро почему
0	1	0	1	0	0	0	какой обогреватель лучше
0	1	0	1	0	0	1	какое самое лучшее моторное масло
0	1	0	1	0	0	1	какая резина лучше на рено логан
0	1	0	1	0	0	1	какая хлебопечка самая лучшая
0	1	0	1	1	0	0	что выбрать iphone или samsung galaxy
0	0	1	0	1	0	0	в чем состоит основное отличие центрального банка от всех других банков
0	1	0	1	1	0	0	куда поехать тунис или турция
1	0	1	1	1	0	0	кого больше шиитов или сунитов
1	0	1	1	1	0	0	как правильно писать управляющий филиалом или управляющий филиала
0	1	0	1	0	0	0	какой лучше купить неутбук
1	1	0	0	1	0	0	в чем различие обмена веществ растения и животного
0	1	0	0	1	0	0	в чём заключаются различия между речной сетью норвегии и финляндии
0	0	1	0	1	0	0	чем отличаются вводные слова и вводные сочетания слов от членов предложений
1	1	0	1	0	0	0	какой телевизор лучше купить
0	1	0	1	1	0	0	кто лучше титан или аватар
0	1	0	1	1	0	0	какая сетка лучше рабица или сварная
0	0	1	0	1	0	0	чем отличается узи 3d от 4d
1	1	0	1	0	0	0	какой микрофон лучше для записи видео
0	1	0	1	1	0	0	какой хомяк лучше сирийский или джунгарский?
0	1	0	2	1	0	0	чем америка лучше россии
1	1	0	1	1	0	0	что для тебя важнее свобода или любовь и почему
0	0	1	0	1	0	0	в чем разница между лазерной и оптической мышкой
0	1	0	1	1	0	0	какой кондиционер лучше мобильный или настенный
1	1	0	1	1	0	0	что лучше планшет или ноутбук для школьника
1	1	1	2	1	0	0	почему в газах и жидкостях диффузия протекает быстрее чем в твёрдых телах
0	1	0	1	1	0	0	что лучше 4 или 2 ядра
1	1	0	1	0	0	0	какой мфу лучше купить для дома
0	1	0	1	0	0	0	какой термопод лучше
1	1	0	1	0	0	1	какая тушь самая популярная
0	0	0	0	1	0	0	в чем отличие скраба от пилинга
1	0	1	1	0	0	0	какой самый большой возраст человека
0	1	1	2	1	0	0	в чем преимущества плоских червей по сравнению с кишечнополостными
1	1	0	1	0	0	0	какой автомобиль купить за 600000
0	0	1	0	1	0	0	чем отличается потенция от эрекции
0	0	0	0	0	0	0	какая разница между пивом и лекарством
1	1	0	1	0	0	0	где лучше купить дом в киевской области
0	0	1	0	1	0	0	чем отличается мэр от главы города
1	1	0	1	0	0	0	какой оператор связи лучше в турции
0	0	1	0	1	0	0	в чем состоят различия политических партий и движений
0	1	0	1	0	0	0	какую лучше делать чистку лица
0	1	0	1	1	0	0	что выбрать зеркалку или цифру
1	1	0	1	1	0	0	что вреднее пудра или тональный крем
0	0	1	0	1	0	0	в чем разница карбюратора 2106 и2107
0	1	0	1	0	0	0	на каком сервере лучше играть в линейдж
0	0	1	0	1	0	0	чем отличаются жаба от лягушки
1	0	1	1	1	0	0	кого больше на земле мужчин или женщин
1	1	0	0	1	0	0	чем различалась позиции революционных и либеральных сил
0	1	0	1	1	0	0	что лучше эреспал или лазолван
0	1	0	1	1	0	0	какие трубы лучше пластиковые или металлопластиковые
0	1	0	1	1	0	0	что лучше натяжные потолки или навесные
0	1	1	2	1	0	0	чем мед лучше сахара
0	1	0	1	1	0	0	что выбрать android или windows mobile
0	1	1	0	1	0	0	как отличить китайский nokia n8 от оригинала
0	1	0	1	1	0	0	что лучше гур или эур
1	0	1	1	1	0	0	как правильно пишется клеют или клеят
0	1	0	1	0	0	0	какой нетбук лучше брать
1	1	0	2	1	0	0	как вы считаете в чем преимущество двойного оплодотворения у покрытосеменных растений по сравнению с оплодотворением у голосеменных
0	1	0	1	0	0	0	какую баню лучше купить
0	1	0	1	0	0	1	какова наибольшая проблема современности
1	0	1	1	1	0	0	где больше платят в футболе или хоккее
1	1	0	1	0	0	0	какой оператор выгоднее для ipad
0	0	1	1	0	0	0	какой полюс холоднее
1	1	0	0	1	0	0	что общего между вальсом и полонезом шопена
1	0	1	1	0	0	1	какая река самая длинная
0	1	0	1	0	0	0	что лучше кларион или пионер
0	1	0	1	1	0	0	что выбрать nikon d90 или d7000
0	1	0	1	1	0	0	что лучше hd6650 или gt555
1	1	0	1	0	0	0	какой зайчик быстрее замерзает зимой заяц-беляк или заяц-толай
0	1	0	0	1	0	0	какая разница между плазмой и led
0	1	0	1	1	0	0	что выбрать финансовый менеджмент или банковское дело
0	0	1	0	1	0	0	какие новые явления по сравнению с предыдущим веком возникли в архитектуре
1	0	1	0	1	0	0	чем отличается рыжий от оранжевого
0	1	0	1	1	0	0	какие весы лучше механические или электронные
1	1	1	1	0	0	0	в какой банк лучше положить деньги под проценты
0	0	1	0	0	1	0	как отличить dod оригинал
0	1	0	1	1	0	0	что лучше видеосервер или видеорегистратор
1	1	0	0	1	0	0	что выбрать любовь или деньги
1	1	0	2	1	0	0	почему женщины живут дольше мужчины?
0	0	1	0	1	0	0	чем отличается опера мини 44 от 42
0	0	1	0	0	0	0	чем отличаются коляски для новорожденных
0	0	1	1	1	0	0	как правильно ходатайство или ходательство
0	0	1	0	1	0	0	чем отличается диплом профессиональной переподготовки от диплома второго высшего образования
0	1	0	1	0	0	0	как выбрать хороший стабилизатор напряжения
0	1	0	1	0	0	0	какой полироль лучше
0	1	0	1	0	0	0	чем лучше обшить фасад деревянного дома
0	0	1	0	1	0	0	чем новое время отличается от новейшего
1	0	1	1	1	0	0	кто чаще машет крыльями муха или комар
0	1	0	1	1	0	0	что лучше андроид или windows phone
0	1	0	1	0	0	0	какой домофон лучше выбрать
0	1	0	0	1	0	0	в чем разница между have to  и  must
0	1	0	0	1	0	0	в чем сходство и различие онегина и печорина
0	0	0	0	0	0	0	где в крыму лучше отдыхать молодежи
0	1	0	1	1	0	0	какой айфон лучше белый или черный
0	0	1	0	1	0	0	что общего у всех простейших и беспозвоночных животных
0	1	0	1	0	0	0	на какую тему лучше создать сайт
0	1	1	0	1	0	0	в чем разница специалист и бакалавр
1	0	1	1	0	0	1	какой месяц самый короткий?
1	1	0	1	0	0	1	какой язык программирования наиболее перспективный
1	0	1	1	1	0	0	как правильно говорить договор или договор
0	0	1	0	1	0	0	что общего у бактерий и простейших и чем они друг от друга отличаются
1	0	1	0	0	1	0	как отличить подделку рей бан
0	1	0	1	1	0	0	что лучше wordpress или dle
1	1	0	1	0	0	0	в каком салоне дешевле купить машину
0	0	1	0	1	0	0	что общего в питании ланцетников и моллюсков
0	1	0	1	0	0	0	какой нетбук выбрать
0	1	0	0	1	1	0	как отличить волнистого попугая самца от самки
0	1	0	0	1	0	0	что общего у сша фрг франции великобритании японии
0	1	0	0	1	0	0	в чем разница между iphone 4 и 4s
0	1	0	1	0	0	0	какой тв провайдер лучше
1	0	1	1	0	0	1	какой из четырех основных энергопотребляющих секторов предъявляет наибольший спрос на энергоресурсы
0	1	0	1	0	0	0	как лучше сделать кунигулис
1	0	1	1	1	0	0	что быстрее скорость звука или скорость света
0	1	0	1	0	1	0	как выбрать намордник
0	1	0	1	1	0	0	что лучше hyundai tucson или kia sportage
0	1	0	1	0	0	0	в каких странах отдыхать в декабре
0	1	0	1	1	0	0	что выбрать гейнер или протеин
0	1	0	1	1	0	0	какой телевизор лучше lg или samsung
0	1	0	2	1	0	0	чем женщины лучше мужчин
1	0	1	1	1	0	0	чайник какого цвета  чёрного или белого  при прочих равных условиях  будет остывать быстрее и почему
1	1	0	1	0	0	0	какие гардины лучше для натяжного потолка
0	0	1	0	1	0	0	чем отличается крем от загара и для загара
0	1	0	0	1	1	0	как отличить samsung galaxy s3 от подделки
1	0	1	1	1	0	0	как правильно сказать на украине или в украине
1	0	1	1	1	0	0	как правильно писать получится или получиться
0	1	0	1	0	0	0	какие шины лучше
0	0	1	0	1	0	0	когда пишется ввиду и в виду
0	0	1	1	1	0	0	какой элемент национального богатства рассматривается в качестве международного финансового актива?  ответ: монетарное золото  прямые иностранные инвестиции  специальные права заимствования  валютные резервы
1	0	1	1	0	0	1	в каком учебном заведение появился старейший университет
1	1	0	1	0	0	1	в каком доме самая лучшая шумоизоляция
0	1	1	0	1	0	0	чем отличается закон от правил
0	1	0	1	1	0	0	какой телевизор лучше плазменный или жк или led
0	1	0	2	1	0	0	чем линукс лучше винды
1	0	1	0	1	0	0	в чем отличие взглядов на сознание в.джемса и в.вундта?
1	1	0	1	0	0	1	какой танк самый прибыльный
0	1	1	1	0	0	0	в какое время суток лучше срезать цветы
0	1	0	1	0	0	0	когда лучше ехать отдыхать на алтай
0	0	1	1	1	0	0	что больше мадагаскар или индостан
0	1	0	1	0	0	0	что лучше пить при рвоте
1	1	0	1	0	0	1	какой самый выгодный тариф на мегафоне
0	1	0	1	1	0	0	что лучше купить приору или ваз 2114
